veicolo,secondi
2404,162
1657,119
11567,157
12781,116
6953,197
3770,164
4055,199
4888,200
6466,186
13861,143
11317,267
5221,159
4802,151
8619,285
6422,291
2648,222
10512,235
7473,156
8275,240
4545,162
9774,188
16753,230
6083,205
805,143
10789,142
18185,178
15834,201
5045,149
5398,307
2228,280
18330,169
4216,180
9132,204
8771,182
13227,176
7871,287
1720,159
7879,264
5706,156
17642,337
17455,235
6319,194
7625,194
8374,185
5662,166
4185,276
4794,163
11119,353
15712,176
17010,118
6870,245
8309,202
15981,272
15301,236
3621,198
18357,133
9165,116
4563,212
7712,303
14712,268
4955,177
5361,171
10547,143
294,259
3982,137
16672,380
8757,279
15224,125
5603,248
8412,206
13450,199
12043,146
9890,133
2206,245
5012,434
7533,159
4075,144
3457,317
15397,168
12823,183
12184,123
15047,275
11494,130
11056,170
4771,268
17329,326
10625,157
9528,236
7039,225
7258,224
5977,121
2932,253
2889,184
6377,282
14079,615
16434,138
7312,171
1266,322
13105,117
8769,143
11956,267
3720,168
6134,176
3832,238
6494,223
7869,150
4061,295
2904,173
13953,261
14661,134
17866,266
6703,250
4511,173
7722,154
4480,175
6480,126
7029,244
14583,211
2019,158
11753,423
3366,258
8753,216
4612,138
4843,145
8112,157
14205,437
5771,154
17353,243
11064,130
5001,256
9136,173
18646,589
11277,195
7047,153
7035,134
1775,332
3791,156
16953,323
11460,120
4879,197
3990,172
4523,908
4853,161
13801,118
3984,152
2419,256
16766,176
7243,163
5741,219
17467,153
5140,191
5723,226
7683,142
15234,119
14136,146
4405,260
14299,197
11326,133
1781,204
8014,141
14713,134
8031,137
15260,200
17980,178
4823,215
5973,139
3806,159
8186,210
3710,314
2937,302
3118,118
6939,232
13012,204
8349,162
8620,146
11583,208
11918,222
5668,153
5322,128
7001,156
3833,162
1489,137
17330,182
2399,187
9631,233
13031,119
13196,123
12883,135
17011,244
16961,117
11573,333
3869,208
3132,221
17768,129
16971,261
4752,161
16242,173
4246,191
10629,203
16167,119
10486,337
11349,172
5604,446
4947,135
4056,284
7517,157
16940,233
7889,701
3700,247
4628,233
2141,196
2913,247
16331,148
12300,210
2315,160
15069,315
7875,145
11212,160
18170,163
2575,390
6026,181
16741,190
5343,135
819,461
7795,152
7121,165
6349,134
1778,251
7859,145
11278,268
17027,408
4910,201
14437,138
1473,137
5399,686
4576,160
16391,210
4804,261
16668,180
7623,386
3998,132
7098,186
3871,251
14730,452
15098,139
8076,233
8184,280
13446,118
10557,151
11985,352
8821,190
9111,275
9532,130
6151,162
7021,214
936,229
4411,298
5357,123
8881,252
6103,252
6780,280
8092,204
825,388
9959,193
11943,118
17632,127
12051,165
4002,183
2736,152
4927,184
4232,150
5164,268
1769,214
2610,737
17260,148
14982,123
14392,128
14145,245
6748,280
15438,159
12679,143
11452,235
8326,250
7023,206
8738,207
5176,308
14910,175
6309,124
8428,265
2026,176
17237,180
3501,122
15875,187
3381,246
303,175
4760,144
3937,348
11507,180
11162,118
13835,209
16300,144
4990,165
10415,116
1570,143
15796,179
12910,173
10050,291
5991,377
18203,166
12450,176
8853,153
13678,172
11490,284
8423,239
15947,196
12332,163
17569,166
12248,160
13516,285
18058,196
9721,161
3133,617
8523,142
1138,285
14759,176
17589,177
1281,150
2373,258
8805,366
11314,306
16429,236
9319,155
9385,193
5040,159
11789,784
8494,182
12222,331
1589,194
18506,150
678,222
244,142
8766,1100
2637,280
6168,157
8011,276
17450,292
8573,416
13032,214
13603,183
6406,417
2238,276
4281,304
2027,154
10012,147
3810,160
14220,294
17080,200
17726,150
11571,202
5054,278
15339,187
2408,147
9527,166
13323,252
5010,227
4406,362
9002,204
7482,176
17075,173
13476,165
11776,261
14632,237
2466,336
7924,198
9573,163
1635,393
3877,229
5253,248
16360,181
13588,157
210,193
3243,144
435,339
10628,325
17570,231
1259,260
51,333
3482,263
11978,341
12697,243
11917,604
3420,165
2510,189
5892,178
6951,340
13609,139
3030,144
8945,176
9964,285
3606,339
13808,309
3785,264
7056,217
7064,151
1115,478
9045,666
254,244
