num,route_length
3,1520.24
37,1547.31
10,2052.0
0,2390.54
31,2383.82
63,1422.78
24,2023.16
16,2470.87
27,2503.04
20,2086.55
71,1659.05
64,1772.45
28,2993.7
2,3406.19
101,1340.16
98,1519.26
8,3299.62
29,2928.83
43,1915.91
47,2639.27
70,2427.7
19,3152.72
6,3024.47
23,3164.79
15,2901.34
144,834.46
32,2456.39
18,4212.21
81,2013.28
45,3631.86
57,3319.47
51,3627.16
54,2612.12
9,2916.64
49,4020.63
13,3614.05
96,2188.08
38,3900.25
130,1883.7
68,3261.86
99,2319.23
4,3671.76
40,3947.75
62,3475.36
58,3732.31
30,4606.86
106,2668.54
34,3361.45
53,3867.47
61,3654.47
14,3629.72
131,2417.93
44,4027.31
21,3971.06
175,1325.8
33,3542.2
48,3594.95
25,3469.31
1,4759.12
138,2174.44
172,1426.76
103,2082.17
76,3752.52
133,2613.04
139,2392.67
89,4177.91
7,4691.42
188,1572.75
35,4566.81
59,4098.78
122,3013.53
152,2418.57
113,3278.5
118,3158.88
199,1205.11
52,4586.69
94,3764.01
11,10047.13
135,2933.83
12,7581.42
87,3414.92
194,1767.65
216,1344.48
60,4777.08
83,4091.17
170,2519.53
41,3644.14
168,2442.58
203,2020.98
17,5170.8
141,3406.27
84,4838.49
153,2686.39
108,4063.93
189,1530.66
213,1821.51
22,5497.7
159,3217.03
56,4179.27
211,1898.57
155,3406.66
231,1655.81
212,1781.23
5,5084.37
247,1263.36
88,3983.15
36,5031.0
166,2772.7
42,10926.1
148,3360.1
164,3119.86
147,4227.43
104,3864.82
109,4086.33
163,3514.99
217,2204.01
50,4602.17
82,3926.31
116,3307.51
111,3776.08
180,3029.64
26,5708.67
209,2434.21
121,4207.72
97,4471.3
229,2065.17
198,2744.27
78,4229.21
151,3679.15
176,3829.55
128,3306.58
215,2589.72
100,3142.18
39,5311.72
221,2866.0
143,4131.56
80,3674.92
157,4025.35
183,3098.64
92,4092.92
193,3236.82
150,3813.94
158,4057.69
145,4541.99
230,2588.19
156,3709.85
218,2948.36
184,3218.75
75,5691.59
149,4132.98
207,3344.89
123,4732.72
169,3648.47
173,3752.46
204,3603.64
140,4767.6
112,5857.02
264,2130.32
277,1970.55
178,3896.44
266,1964.32
67,5664.61
197,3053.52
93,4203.61
126,5607.4
66,3582.66
262,2384.12
186,5364.25
74,5488.15
134,4097.79
192,4529.91
219,3022.91
77,4426.23
179,4418.15
236,3112.55
154,5759.14
65,5655.26
177,4325.11
86,4472.42
191,3864.24
195,3364.81
162,4655.89
120,5780.83
252,2862.0
226,3878.28
167,5978.94
307,1842.23
249,3351.77
119,4697.05
210,4282.46
239,4223.04
246,2970.5
160,4260.7
127,4629.12
55,6987.8
124,5568.74
115,5504.06
95,4337.31
174,5345.84
225,4306.49
234,3550.29
320,2547.9
182,4696.18
137,5554.3
294,2725.73
269,4363.79
314,2795.47
313,2659.25
265,3466.47
309,2258.65
263,3380.93
380,1092.66
125,5028.66
107,9815.49
281,3681.67
273,4126.78
238,5182.41
146,5569.96
310,1875.51
244,3701.66
302,3055.92
272,2259.63
299,3907.21
308,2587.24
257,4412.91
292,2752.97
46,13004.55
161,5847.47
110,5087.07
326,2550.94
261,4594.51
347,2082.13
296,3732.21
332,2779.3
360,2368.88
306,3271.7
319,3577.89
275,3885.98
291,4375.97
165,5944.21
287,2735.59
318,3590.83
312,4043.2
352,2192.11
409,1729.13
251,4941.57
311,4053.45
324,3316.9
316,3145.2
305,3419.58
432,1480.48
325,3467.0
258,4121.83
358,2719.02
142,6393.6
414,1856.33
289,4593.07
280,4461.81
389,2911.57
329,3156.69
374,2606.53
330,3271.39
343,3968.37
399,2578.64
295,4452.19
298,3954.2
442,1909.9
445,1624.67
328,4001.48
290,4430.03
260,3087.96
171,6635.4
333,3784.87
447,1907.3
461,1369.52
340,3955.47
350,3584.14
303,4810.15
419,2520.41
462,1434.5
201,6756.21
285,3566.4
284,4062.59
241,6235.89
250,5601.44
338,3163.68
129,7630.73
362,2728.36
392,3192.44
449,2237.85
408,3521.65
276,3919.39
346,4690.87
235,6073.71
382,2870.14
185,5979.37
205,6140.99
337,4505.67
460,2302.54
422,2966.98
348,4649.95
351,3598.04
444,2243.24
331,3764.62
418,2842.97
416,2985.58
228,6621.79
243,5482.76
349,3971.08
378,3543.28
288,4995.03
278,5867.17
301,4311.33
233,4984.61
547,600.73
367,3849.83
72,8438.43
377,4009.2
190,6347.18
388,4427.41
466,2286.55
493,2014.17
117,8340.55
407,3058.65
353,3890.63
304,5521.86
423,3236.24
386,4107.87
339,4345.51
300,5261.43
245,6976.68
214,5929.91
327,5726.94
390,4366.61
