veicolo;secondi
2404;146
15519;134
6422;199
3770;139
6953;218
4055;181
13861;143
6466;161
8247;165
4181;157
8275;226
3693;149
9132;159
18266;186
18086;197
11337;170
805;152
13227;168
8771;199
2228;291
4845;152
10775;177
10444;223
17455;188
7879;244
10789;201
12698;184
2087;167
11994;165
3455;154
9905;315
5662;146
6399;156
8309;206
5706;188
14712;222
7560;192
5012;243
4955;158
4712;210
16973;148
12381;141
7801;208
13450;177
14856;154
3000;148
8074;149
11949;242
11494;128
7039;173
1266;231
9890;132
12823;131
8412;223
2206;381
8660;165
463;129
3982;221
4771;228
17329;259
14729;162
15047;220
16789;172
3720;128
17297;169
7738;163
2889;168
3366;163
5854;173
9756;180
14583;138
9528;169
6460;158
7533;153
7045;154
16434;152
4480;160
8763;144
1775;154
4511;147
10474;224
15334;172
9215;254
5977;213
13718;157
8769;223
13274;188
16922;183
2419;145
1877;161
5001;225
1988;199
5771;196
11753;453
7029;231
4879;167
7047;190
12625;353
13938;155
9136;184
10968;199
33;251
2405;172
8112;220
13195;221
11064;207
14924;151
5140;157
8843;168
17166;252
3791;180
4073;166
17467;170
3984;199
5222;281
8014;168
13050;161
7035;250
12111;173
13012;176
10141;200
18169;212
13008;150
5399;302
3806;183
15234;174
11918;185
17330;160
5322;146
7645;210
8349;147
11326;167
12699;274
4823;233
1781;233
2610;293
4752;181
4056;173
8031;232
7001;134
14299;242
3833;170
5668;194
16940;127
7025;189
3118;183
4051;161
16971;372
13196;173
17011;191
12300;178
11349;154
15048;184
1330;304
16242;210
10629;247
17768;186
819;249
2913;233
11985;214
7517;154
16331;146
4272;156
4804;167
12903;181
14888;160
5932;245
2315;151
8076;150
1778;154
6349;148
10186;234
18170;161
6780;242
8069;153
12851;181
8113;172
1473;184
6498;188
14437;142
6271;204
3937;186
16741;248
7875;512
7412;197
6409;178
6151;153
5164;205
11278;272
4276;187
4584;138
8398;180
2736;149
3564;144
5343;476
12095;131
6309;198
11093;154
13446;121
4002;161
8881;259
11943;118
919;249
10557;168
12264;249
3381;158
8821;184
9820;208
10654;157
7021;159
4232;177
11755;132
11777;136
8092;184
14145;231
15077;162
15438;172
12660;270
7023;151
8428;211
8738;169
14910;166
10089;136
11452;229
8423;143
14744;188
13835;172
16883;174
17385;244
6103;266
8123;218
11162;177
4990;166
16048;291
5991;303
8805;210
1425;168
14161;148
11507;154
12450;155
2684;225
10415;215
3501;240
9045;246
18199;180
1570;168
12248;172
14256;184
15239;210
11490;229
17450;185
17569;144
14220;183
17511;208
5357;527
4382;179
9721;142
2373;259
4281;217
5054;243
11797;172
2637;245
334;331
16429;272
9319;169
4442;167
17080;150
6406;330
6168;166
11917;317
51;162
2466;178
2027;155
13603;229
9527;155
1115;224
4406;306
10497;277
11571;211
244;139
5010;225
2238;242
17726;169
15339;184
678;251
7924;157
18506;501
5253;142
435;245
4219;189
6951;203
17075;151
3482;145
14632;163
16360;154
11776;229
2065;326
254;172
10628;251
14015;298
402;188
5892;165
5992;167
7056;173
3045;244
7064;164
7838;147
13340;192
18571;145
14222;281
3030;204
1116;140
6144;158
1595;190
10140;171
6956;158
18154;131
5484;267
2297;195
10965;269
17535;149
6186;174
2239;241
4267;173
13544;250
6542;172
7120;194
8302;182
12417;236
13011;200
15773;238
6696;269
6308;244
3786;153
5055;233
202;186
3390;169
5121;308
8207;242
7334;182
14035;241
14166;238
7768;159
10288;310
12852;228
7774;172
8134;164
2008;190
3478;153
16113;141
8308;144
1369;137
1329;226
12298;148
9266;309
8955;184
4012;283
4038;297
2751;161
12894;312
9829;245
18572;169
5254;149
12788;149
12152;134
1956;174
12362;231
980;230
4860;141
1071;182
7052;166
8203;334
7283;163
6433;172
2247;229
2209;145
5835;326
12116;244
2029;183
16673;152
1426;167
11173;231
11110;190
18545;247
18761;195
14000;225
18498;259
1811;237
16392;280
5552;189
13117;236
13767;300
183;231
11696;154
18398;241
16806;183
11891;170
4176;135
2472;200
15534;230
13118;145
5804;253
6569;284
15883;224
